"","X","grp.recording","group","great.call","recording","Delta.Time..s..1","BW.90...Hz..1","Freq.5...Hz..1","Freq.95...Hz..1","Begin.Time..s..1","End.Time..s..1","Delta.Time..s..2","BW.90...Hz..2","Freq.5...Hz..2","Freq.95...Hz..2","Begin.Time..s..2","End.Time..s..2","Delta.Time..s..3","BW.90...Hz..3","Freq.5...Hz..3","Freq.95...Hz..3","Begin.Time..s..3","End.Time..s..3","Delta.Time..s..4","BW.90...Hz..4","Freq.5...Hz..4","Freq.95...Hz..4","Begin.Time..s..4","End.Time..s..4","Delta.Time..s..5","BW.90...Hz..5","Freq.5...Hz..5","Freq.95...Hz..5","Begin.Time..s..5","End.Time..s..5","Delta.Time..s..6","BW.90...Hz..6","Freq.5...Hz..6","Freq.95...Hz..6","Begin.Time..s..6","End.Time..s..6","note.dur.comb","rest.dur.comb","intro.dur","trill.dur","great.call.dur","unlist.trill.rate.list.","site"
"134",8290,"DV_01_017","DV_01","DV_01_017.07",7,0.899,193.8,624.5,818.3,0.093,0.992,0.873,236.9,646,882.9,1.19,2.063,0.517,366.1,646,1012.1,2.27,2.786,0.372,452.2,667.5,1119.7,3.059,3.431,0.267,473.7,689.1,1162.8,3.657,3.924,0.203,516.8,689.1,1205.9,4.133,4.336,3.131,1.112,4.586,6.907,11.493,9.02099970422952,"DV"
"135",8358,"DV_01_017","DV_01","DV_01_017.08",8,0.784,150.7,624.5,775.2,0.209,0.993,0.714,193.8,624.5,818.3,1.3,2.014,0.493,301.5,646,947.5,2.31,2.804,0.366,344.5,667.5,1012.1,3.071,3.437,0.244,452.2,667.5,1119.7,3.698,3.942,0.233,559.9,689.1,1248.9,4.151,4.384,2.834,1.341,4.835,6.822,11.657,9.22207347910159,"DV"
"136",8428,"DV_01_018","DV_01","DV_01_018.01",1,0.72,236.9,624.5,861.3,0.25,0.969,0.598,279.9,646,925.9,1.306,1.904,0.476,495.3,667.5,1162.8,2.217,2.694,0.348,538.3,667.5,1205.9,2.961,3.309,0.261,602.9,667.5,1270.5,3.564,3.825,0.203,667.5,689.1,1356.6,4.029,4.232,2.606,1.376,4.858,7.735,12.593,9.53127040083562,"DV"
"137",8510,"DV_01_018","DV_01","DV_01_018.02",2,0.848,129.2,602.9,732.1,0.192,1.039,0.685,215.3,624.5,839.8,1.387,2.072,0.563,215.3,646,861.3,2.38,2.943,0.383,236.9,667.5,904.4,3.257,3.64,0.267,258.4,667.5,925.9,3.907,4.174,0.192,366.1,689.1,1055.1,4.441,4.632,2.938,1.502,4.823,8.217,13.04,9.08977711368447,"DV"
"138",8590,"DV_01_018","DV_01","DV_01_018.03",3,0.892,129.2,602.9,732.1,0.142,1.034,0.907,172.3,624.5,796.7,1.147,2.054,0.604,258.4,646,904.4,2.281,2.885,0.511,452.2,667.5,1119.7,3.158,3.669,0.313,516.8,667.5,1184.3,3.889,4.203,0.232,559.9,667.5,1227.4,4.458,4.69,3.459,1.089,5.576,6.725,12.301,9.2466272548128,"DV"
"140",8733,"DV_01_018","DV_01","DV_01_018.05",5,0.904,215.3,602.9,818.3,0.1,1.004,0.818,258.4,624.5,882.9,1.191,2.008,0.631,344.5,646,990.5,2.181,2.812,0.531,387.6,667.5,1055.1,2.955,3.486,0.459,452.2,667.5,1119.7,3.63,4.089,0.33,516.8,667.5,1184.3,4.189,4.519,3.673,0.746,4.945,7.575,12.52,9.12874211303531,"DV"
"141",8809,"DV_01_018","DV_01","DV_01_018.06",6,0.935,129.2,602.9,732.1,0.126,1.06,0.72,150.7,624.5,775.2,1.335,2.055,0.534,452.2,646,1098.2,2.345,2.879,0.418,452.2,667.5,1119.7,3.146,3.564,0.273,538.3,667.5,1205.9,3.82,4.093,0.321,689.1,667.5,1356.6,4.269,4.59,3.201,1.263,4.778,7.341,12.119,9.10109213105573,"DV"
"142",8881,"DV_01_019","DV_01","DV_01_019.01",1,0.902,344.5,602.9,947.5,0.153,1.055,0.697,452.2,624.5,1076.7,1.295,1.991,0.499,473.7,646,1119.7,2.276,2.775,0.342,516.8,667.5,1184.3,3.065,3.408,0.238,559.9,689.1,1248.9,3.646,3.884,0.163,559.9,710.6,1270.5,4.069,4.232,2.841,1.238,4.079,8.009,12.088,9.43035554989168,"DV"
"143",8961,"DV_01_019","DV_01","DV_01_019.02",2,0.955,344.5,602.9,947.5,0.056,1.011,0.61,366.1,646,1012.1,1.271,1.881,0.412,387.6,646,1033.6,2.217,2.63,0.492,452.2,667.5,1119.7,2.823,3.314,0.279,495.3,689.1,1184.3,3.495,3.773,0.186,516.8,710.6,1227.4,3.959,4.145,2.934,1.155,4.402,7.887,12.289,9.42908809093257,"DV"
"144",9041,"DV_01_019","DV_01","DV_01_019.03",3,0.832,172.3,602.9,775.2,0.142,0.974,0.751,193.8,624.5,818.3,1.197,1.948,0.493,150.7,646,796.7,2.252,2.746,0.418,215.3,667.5,882.9,3.088,3.506,0.279,279.9,667.5,947.5,3.738,4.017,0.226,301.5,689.1,990.5,4.232,4.458,2.999,1.317,4.659,4.095,8.754,7.90614639122673,"DV"
